Category;Motivation;Outcome;Year
Academic;New course not offered at current campus;Approved;2013
Personal;Personal circumstances;Declined;2013
Academic;Subjects not offered @ eMalahleni;Declined;2013
Personal;Personal circumstances;Approved;2013
Academic;Subjects not offered @ eMalahleni;Approved;2013
Personal;Personal circumstances;Declined;2013
Academic;New course not offered at current campus;Approved;2013
Personal;Personal circumstances;Declined;2013
Personal;Personal circumstances;Declined;2013
Academic;New course not offered at current campus;Declined;2013
Academic;Subjects not offered @ eMalahleni;Declined;2013
Academic;New course not offered at current campus;Declined;2013
Academic;New course not offered at current campus;Declined;2013
Academic;New course not offered at current campus;Approved;2013
Academic;Want to specialise in Multimedia;Approved;2013
Personal;Personal circumstances;Declined;2013
Academic;New course not offered at current campus;Declined;2013
Academic;New course not offered at current campus;Declined;2013
Personal;Personal circumstances;Declined;2013
Academic;Subjects not offered  Polokwane;Declined;2013
Personal;Personal circumstances;Declined;2013
Accommodation;Accomodation problems;Declined;2013
Academic;I would like to change my specialisation field. I am not interested in Studying Software Development. I want to study Information Technology that specialize in Business because I am interested in that field of Information Technology Business Apllication and it is not offered on this current campus I am registered at now. The only TUT campus that offer that course is the soshanguve campus and that is why I will like to be transfer there to study it.;Declined;2014
Family;My family is moving out from Witbank to Gauteng;Declined;2014
Academic;I am currently doing DSO17BT and some 3rd year subjects. I still need to do the TPG's and DSO's. the only subject available for me to do next semester is IDC30BT and it is said that you cannot do IDC30BT if you still have 2 or 3 subjects to do, like me. The reason why I want to go to Soshanguve is because I want to start doing the TPG's and DSO's since I am only left with them. If I stay here I will not be able to register any subject since AT's are only done in January - June - first semester.;Approved;2014
Academic;I have registered DSO17BT and some of the 3rd year subjects and next semester I don't have any subjects availaable for me to register. Therefore the only subject that will be available it is IDC30BT which I cannot be able to register because I am still left with other subjects to complete.;Declined;2014
Family;My brother (Mokone TA, 213555227) and I were sharing everything, including laptop) last year, when we were both studying at the eMalahleni campus. And since he was transferred to soshanguve campus due to the field of specialisatin, it has been a struggle for my family to accomodate 2 separate expenses . since I am interested to specialise in Intelligent Industrial Systems, I will be pleased if you consider my request so that my brother and I will continue to share.;Approved;2014
Family;I would like to move to main campus because of my financial status at home. In soshanguve I would be staying with my grandmother. Another reason being that I want to specialise in the field of Business applications. Here in this campus their don't offer this specialisation.;Approved;2014
Academic;After careful and considered thinking I see that the course / specialisesfield that I want to persue is not offered at this current campus where I am situated and although all first years go through the same subject before branching out to a specific I feel that a second semester move will repa positive results in that I am moving to a new area while the workload is barely at its peak as oppose to when its harder next year. The move might prove distractful. I want to specialise in Business applications and I kindly ask that you consider my transfer request. ;Declined;2014
Academic;Reason for transfer is because I want to specialize in Network and not programming.  Soshanguve campus is nearer to home and nearer to my skin specialist (dermatologist).  I go for check up now and then.  It is costly.  Travelling now and then for check up is affecting my parents' budget as well as my monthly allowance.  A transfer to Soshanguve Campus would help a lot in terms of check ups, budget and my field of speciality.  It will also save time from traveling a distance.;Declined;2014
Academic;eMalahleni campus will not offer TPG11AT/BT and DSO23AT next semester, whereas these subjects are offered at Soshanguve.;Declined;2014
Family;I request to transfer because eMalahleni Campus will not offer TPG and DSOIIA in the forth coming semester, whereas the subjects are offered at the Soshanguve Campus.;Approved;2014
Family;My brother stays in Pretoria (see prove in the next page).  I need this transfer because he's also paying for my study fees.  If I get transferred, he won't spend a lot of money any more because now he pays rent for me and buy me grocery every month.  Please approve my transfer to reduce financial problems in my family cause my brother is the only guy that is supporting me.;Declined;2014
Family;A am formally requesting a transfer to Soshanguve Campus.  My reason for requesting a transfer is that, my sister has moved to Pretoria, so I want to go stay with her, because in Witbank I am spending a lot of money.  Next year I would also like to find myself in the field of Intelligent Industrial Systems or Business Applications.  I would be very grateful if you consider my application.;Approved;2014
Family;Socially and economically.  Here I am living on disorganised environment and community.  I feel neglected here because I don't have family member.  Here I am renting a room of R800 while my father is unemployed.  There I'll stay with my family and I'll be using a train which is R150 per month than paying R800 per month and I'll be staying at hostel for free.;Declined;2014
Family;The reason of my motivation from wanting to move from Witbank Campus to Soshanguve Campus, its because of financial problems.  My family is staying here at Atteridgeville in Pretoria, and Witbank is far, so my grandmother can't afford to pay for me rent and school fees.  Because she is a street vendor and I don't have Nasfas to pay my fees, so this issue even had me to drop out.  If I can continue to study at Witbank Campus because of financial problems, I will be grateful if my request can begranted.;Declined;2014
